#STF 147      1822 2014  168  86 266   3.5   0.2  6.14  7.17 F5V+F7V   +043-417 +043-417 -12  315  O   014144.84-111928.9
       1958.60      88.9     .       2.13      .        6.2    .      7.0    .                2.1   1 B__1960b Mb   0   
       1958.66      90.27    .       2.123     .         .     .       .     .                0.9   1 Kpr1992  Po   4   
       1958.71      90.8     .       2.05      .        6.5    .      7.5    .                1.0   2 B__1960b Ma   0   
       1959.685     89.78    .       2.090     .         .     .       .     .                0.9   1 Jef1978  Po   2   
       1959.85      87.0     .       2.25      .        6.0    .      7.3    .                0.1   2 Vtr1962  Ma   1   
       1959.90      89.7     .       1.99      .        6.1    .      7.1    .                0.7   3 B__1960a Ma   0   
       1959.907     89.48    .       2.120     .         .     .       .     .                0.9   1 Jef1978  Po   2   
       1959.907     89.58    .       2.112     .         .     .       .     .                0.9   1 Jef1978  Po   2   
       1959.92      93.5     .       1.88      .         .     .       .     .                0.3   1 Arc1960  Ma   0   
       1960.639     89.7     .       2.076     .         .     .       .     .                0.6   1 vAd1983  Po   2   
       1960.796     88.9     .       2.33      .        6.0    .      7.3    .                0.2   1 Sgt2006  Ma   7   
       1960.911     89.0     .       2.31      .        6.0    .      7.3    .                0.2   1 Sgt2006  Ma   7   
       1960.921     89.6     .       2.35      .        6.0    .      7.3    .                0.2   1 Sgt2006  Ma   7   
       1961.58      91.4     .       1.96      .        6.0    .      7.0    .                0.3   4 B__1962d Ma   1   
       1962.88      91.4     .       2.01      .        6.0    .      7.0    .                0.9   4 B__1963b Ma   1   
       1962.96      88.6     .       2.03      .        6.0    .      7.3    .                0.4   3 Cou1963a Mc   1   
       1964.954     90.6     .       2.04      .         .     .       .     .                0.3   5 Wak1966  Ma   2   
       1965.070     89.2     .       1.91      .         .     .      1.0    .                0.3   4 Wor1971  Ma   2   
       1965.70      89.5     .       1.89      .        6.0    .      7.0    .                0.7   4 B__1967  Ma   2   
       1968.71    q 91.2     .       2.09      .        6.1    .      7.4    .                0.5   4 Mro1969a Ma   2   
       1968.79      90.8     .       2.12      .        6.0    .      7.0    .                0.7   1 Nbg1969  Ma   2   
       1971.60      93.4     .       1.83      .        6.1    .      7.4    .                0.7   2 Kle1973b Ma   2   
       1971.820     92.8     .       1.74      .         .     .      1.2    .                0.7   5 Beh1977  Ma   2   
       1972.999     90.0     .       2.00      .        6.2    .      7.5    .                0.1   3 Cll2003  Ma   6   
       1973.596     90.6     .       1.77      .         .     .      0.7    .                0.9   4 Wak1985  Ma   2   
       1974.850     91.7     .       1.57      .         .     .      1.1    .                0.7   2 Beh1977  Ma   2   
       1975.057     91.4     .       1.68      .         .     .      1.0    .                1.0   2 Wak1985  Mb   2   
       1976.789     91.2     .       1.85      .         .     .      0.8    .                0.9   2 Hln1977b Mb   2   
       1976.860     91.3     .       1.88      .         .     .      1.0    .                1.0   2 Hln1977a Mb   2   
       1977.70      90.1     .       1.58      .         .     .       .     .                0.6   2 Hei1978b Ma   2   
       1980.799     91.0     .       1.90      .        6.2    .      7.4    .                0.1   3 Cll2003  Ma   6   
       1980.981     89.5     .       1.40      .         .     .       .     .                0.4   1 Yan1982  Ma   4   
       1980.981     90.5     .       1.64      .         .     .       .     .                0.4   1 ChZ1982  Ma   4   
       1981.924     89.5     .       1.54      .         .     .       .     .                0.4   1 ChZ1982  Ma   4   
       1981.924     89.2     .       1.71      .         .     .       .     .                0.4   1 MaZ1982  Ma   4   
       1982.894     91.6     .       1.51      .         .     .       .     .                0.3   3 Mss1985  Ma   4   
       1983.83      90.6     .       1.50      .         .     .       .     .                0.6   2 Hei1985a Ma   4   
       1985.681     92.0     .       1.40      .         .     .       .     .                0.1   1 Tob2003  Ma   6   
       1987.856     91.2     .       1.20      .         .     .      1.3    .                0.4   4 Sca1991a Ma   4   
       1988.682     91.6     .       1.37      .        6.1    .      7.4    .                0.5   1 Thr1996  Ma   5   
       1991.25      92.4     .       1.071     .        6.187 0.003   7.266 0.009  511 222    0.3   1 HIP1997a Hh   5   
       1991.25        .      .        .        .        6.17   .      7.22  0.01   505  97    0.3   1 Fab2000a Hh   7   
       1991.25        .      .        .        .        6.59   .      7.78  0.01   435  70    0.3   1 Fab2000a Hh   7   
       1991.66      95.2     .       1.061     .        6.141 0.010   7.172 0.011  530 100    0.3   1 TYC2000a Ht   5   
