USNO Double Star data for WDS 18078+2606

Note: the data request software was rewritten in July 2017, following introduction of the WDS supplement. Please see the
new datarequest.key file for a description of file contents. This effort is still ongoing; your comments regarding
format, errors, or missing information are welcome.

------------------------------------------------------------------------------------------------------------------------

MEASURES:

       1899.68     183.0     .      14.02      .         .     .       .     .                0.3   1 Coh1911  Ma   3   
       1900.97    q184.2     .      14.22      .         .     .       .     .                0.3   2 Hu_1911  Ma   3   
       1905.53    q182.3     .      14.31      .        5.8    .      5.8    .                0.3   2 Lau1906a Ma   3   
       1905.76     182.4     .      14.00      .         .     .       .     .                1.0   3 Bu_1906  Ma   4   
       1906.55    q183.0     .      14.48      .         .     .       .     .                0.3   3 Ino1909  Ma   3   
       1909.52    q182.4     .      14.28      .        6.2    .      6.2    .                0.3   2 Jan1909b Ma   3   
       1910.          .      .        .        .         .     .      0.02   .                0.2   3 Wen1913  Z  D 7   
       1910.          .      .        .        .         .     .      0.08   .                0.3  22 Pck1912  Zp D 7   
       1911.52    q182.5     .      14.14      .         .     .       .     .                0.2   1 Gui1931  Ma   3   
       1912.8      181.8     .      14.391     .         .     .       .     .                0.2   1 WFD1920b T    6   
       1913.47     182.6     .      14.21      .         .     .       .     .                0.3   4 Ern1921  Mc   3   
       1914.10    q184.2     .      14.682     .         .     .       .     .                0.2   1 WFD1931  T    6   
       1914.27    q182.8     .      14.05      .         .     .       .     .                0.3   1 Gui1931  Ma   3   
       1914.70    q182.4     .      13.80      .         .     .       .     .                0.2   2 Frk1915  Ma   3   
       1914.815   q182.70    .      14.085     .         .     .       .     .                0.5   2 Hzg1920  Po   3   
       1915.47     182.8     .      14.19      .         .     .       .     .                0.4   3 Vys1936  Ma   0   
       1917.52     181.8     .      14.24      .         .     .       .     .                0.2   3 Roe1918  Ma   3   
       1920.47     184.2     .      14.489     .         .     .       .     .                0.2   2 WFD1933b T    6   
       1920.61     181.0     .      14.11      .         .     .       .     .                0.3   1 Jan1921a Ma   3   
       1921.45     181.8     .      14.13      .         .     .       .     .                0.3   2 Haa1922  Ma   3   
       1921.45     182.0     .      14.19      .         .     .       .     .                0.3   2 Jan1922a Ma   3   
       1922.73     182.5     .      14.17      .         .     .       .     .                0.1   3 Pek1926  Ma   3   
       1923.64     182.7     .      14.27      .         .     .       .     .                0.3   1 Lrz1924a Ma   3   
       1923.73    q182.8     .      14.02      .         .     .       .     .                0.2   1 Blo1931  Ma   3   
       1925.597    182.8     .      14.06      .         .     .       .     .                0.1   1 Baz1927b Ma   3   
       1927.50     182.5     .      14.31      .         .     .       .     .                0.4   3 Kom1935a Ma   0   
       1927.51     182.91    .      14.144     .         .     .       .     .                0.3   1 Prz1926  Po   0   
       1927.51     183.04    .      14.089     .        5.9    .      5.9    .                0.3   1 Lbz1929  Po   0   
       1927.555    183.8     .      14.70      .         .     .       .     .                0.1   3 Arm1928  Ma   6   
       1927.56     183.8     .      14.7       .         .     .       .     .                0.2   3 Arm1927a Ma   0   
       1927.57     183.08    .      14.132     .         .     .       .     .                0.3   1 Prz1926  Po   0   
       1927.59     183.00    .      14.116     .         .     .       .     .                0.3   1 Lbz1929  Po   0   
       1928.44     183.2     .      14.384     .         .     .       .     .                0.1   1 WFC1953  Pa   6   
       1928.57     183.8     .      14.09      .         .     .       .     .                0.5   1 DeO1929  Po   0   
       1929.67     182.5     .      13.84      .         .     .       .     .                0.1   3 All1930  Ma   0   
       1930.43     183.7     .      14.650     .         .     .       .     .                0.2   1 WFC1958a Pa   6   
       1932.46     183.2     .      14.16      .         .     .       .     .                0.4   4 Kom1933  Ma   0   
       1932.77    q182.7     .      13.98      .         .     .       .     .                0.1   3 Baz1933b Ma   0   
       1933.65    q182.50    .      14.14      .         .     .       .     .                0.3   6 Urb1938  Po   0   
       1936.64     182.6     .      14.14      .         .     .       .     .                0.4   2 Vat1939  Ma   0   
       1937.61     182.73    .      14.18      .         .     .       .     .                0.9   1 Hzg1940  Po   0   
       1938.54     182.4     .      14.31      .        5.9    .      5.9    .                0.2   3 Mlr1946a Mc   0   
       1939.75     182.9     .      14.376     .         .     .       .     .                0.2   8 WFD1953  T    6   
       1940.          .      .        .        .         .     .      0.01   .                 .    1 Mcz1948  Zw D 7   
       1940.          .      .        .        .         .     .      0.04   .     553         .    4 Frw1946  Po D 7   
       1940.          .      .        .        .         .     .      0.06   .                 .    3 Dtr1943  Zw D 7   
       1940.39     182.91    .      14.15      .         .     .       .     .                0.9   1 Jef1951  Po   0   
       1940.51     182.80    .      14.155     .         .     .       .     .                0.9   1 Jef1951  Po   0   
       1940.53     182.9     .      14.46      .         .     .       .     .                0.3   1 Vat1945  Ma   0   
       1940.570    184.1     .      13.71      .         .     .       .     .                0.1   1 All1947  Ma   6   
       1941.78     182.0     .      14.30      .         .     .       .     .                0.2   6 Sem1944  Mc   0   
       1944.637    182.9     .      14.14      .         .     .       .     .                0.3   1 Pen2016  Ma   7   
       1948.648    182.80    .      14.164     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1948.787    182.87    .      14.176     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1949.510    182.75    .      14.170     .         .     .       .     .                0.9   1 Jef1978  Po   2   
       1949.68     182.75    .      14.19      .        5.9    .      5.9    .                0.5   1 Kra1951  Po   0   
       1950.551    182.79    .      14.192     .         .     .       .     .                0.5   1 DeO1954  Po   0   
