,HD,HIP,P (yr),P_err (yr),a (mas),a_err (mas),e,e_err,i (deg),i_err (deg),w (deg),w_err (deg),bigw (deg),bigw_err (deg),T (mjd),T_err (mjd),residual (micro-as),binary_separation (mas),HIP_distance (pc),HIP_distance_err (pc),Gaia_distance (pc),Gaia_distance_err (pc),a_HIP (au),a_HIP_err (au),a_Gaia (au),a_Gaia_err (au),Mdyn_HIP (Msun),Mdyn_HIP_err (Msun),Mdyn_Gaia (Msun),Mdyn_Gaia_err (Msun),Mdyn_over_d3 (x10e-6),Mdyn_over_d3_err (x10e-6),triple,SpType (primary?),dmag_speckle_v,dmag_speckle_v_err,dmag_speckle_i,dmag_speckle_i_err,dmag_wds_v,dmag_wds_v_err,dmag_h,dmag_h_err,dmag_k,dmag_k_err,M1_ph,M2_ph,Msum_ph,Diameters,complete vsini,vsini,Gaia vsini,Gaia Teff,Gaia e_plx,Gaia Fe/H,Gaia Dist,Complete[Fe/H],G-C [Fe/H],Av,kerv_dist,e_kerv,Teff_bibcode,Teff
20,41040,28691,13.01128861,0.134387911,47.56364359,2.961791008,0.751009949,0.016345587,113.8959069,5.213407616,302.858099,4.084033658,231.9357833,2.565878729,44506.44757,139.4575944,45.43,29.7926136,220.264319,14.06974696,262.1575567,16.96172144,,,,,,,,,0.617291099,0.122447021,,B8V,1.16,0.15,1.01,0.15,1.3,0.4,0.92,0.2,,,,,,0.245994,140,140,,12415.2,0.246800005,-0.9391,268.2023,-0.9391,,0.198,220.2643172,0.29,2010ApJ...722..605H,12905
21,43358,29746,29.49563386,0.035420318,166.5101898,0.352116738,0.383485578,0.002372237,13.21514152,0.868158806,23.16451889,2.42500184,9.96E-09,2.372275158,38992.28884,27.6166276,72.59,111.492794,96.24638758,5.558020494,,,,,,,,,,,5.295981578,0.038703039,,F3V,,,,,0.2,0.3,1.09,0.18,,,,,,0.366,45,45,,,,,,-0.04,-0.04,0,96.24639076,0.6,2011A&A...530A.138C,6521
22,43525,29850,9.18378659,0.004003504,91.40074752,0.021167441,0.237494548,0.000278144,58.95271214,0.020099518,305.413761,0.127086262,124.495712,0.02243723,49147.72036,4.771935256,12.48,68.54710204,69.10849907,1.623834796,82.5314032,2.253221854,,,,,,,,,9.053167213,0.007075049,,A2V,,,,,0.27,0.21,0.33,0.15,,,,,,0.311437,225,225,,8315.6,0.330799997,-0.5187,77.7588,-0.5187,,0,82.52867872,0.331,2012A&A...537A.120Z,8730
23,45542,30883,19.09905888,0.067933122,86.11994684,0.993443306,0.147573709,0.025610127,76.53028787,0.276553322,223.9324628,11.06538857,122.7405093,0.543393477,48756.05895,235.6243891,806.35,36.27826562,166.9449146,7.803769292,224.8454188,22.29495963,,,,,,,,,1.761250247,0.055639035,y,B6IVe,0.68,0.15,0.64,0.15,0.59,0.28,0.71,0.31,,,,,,0.338,160,160,,12484.6,0.441000015,-1.4197,177.4435,-1.4197,,0.136,166.9449082,0.28,2018A&A...616A...1G,7876
24,46273,30953,53.23926541,0.254596299,412.421427,23.35103926,0.968238667,0.003058861,159.3176039,5.090217002,94.97100377,8.946747164,184.3103605,10.31738266,39910.65376,90.41971114,79.82,188.9374032,51.4403278,1.746430904,,,,,,,,,,,26.47837505,5.486521208,,F2V,0.12,0.15,0.16,0.15,0.27,0.14,,,0.06,0.07,,,,0.512,175,175,,,,,,-0.3,-0.03 or 0.18,0,51.44032922,0.66,2011A&A...530A.138C,6805
25,47105,31681,13.10071463,0.139983466,265.9491579,9.191311638,0.882095855,0.013273141,105.1891585,0.346642373,316.7779145,2.591823373,67.88637954,0.961774648,57843.87354,10.49452907,457.96,355.8997415,33.51206417,2.504420354,,,,,,,,,,,106.362595,11.67182551,,A1.5V,4.82,0.15,4.13,0.15,4.3,1.3,4.02,0.4,,,,,,1.437867,10,10,,,,,,-0.12,,0,33.51206434,2.23,2016A&A...589A..83G,9100
26,48581,32140,221.5383349,772.3252384,301.9707346,290.5342745,0.528281079,0.029127057,93.99212663,2.972388438,98.72845749,21.17901637,357.675272,2.373358577,63003.21855,602.7638589,158.03,101.6165136,161.550887,12.26638385,153.05732,12.78386494,,,,,,,,,0.402425773,0.099721134,y,F0V,1.39,0.15,1.45,0.15,1.42,0.11,,,1.87,0.15,,,,0.244,,,,7104.3,0.545700014,-0.5479,170.9371,-0.5479,,0.062,33.51206434,2.23,2018A&A...616A...1G,7134
27,49643,32698,61.01290363,0.638766911,153.2469105,0.650756834,0.278,0.011127858,110.7761742,0.266288954,72.62613626,1.164676867,240.3228874,0.248738786,40501.36247,226.7343057,28.4,131.644435,176.0563433,16.42779221,397.8674306,130.9286797,,,,,,,,,0.9645749,0.026084631,,B8V,0.8,0.15,0.77,0.15,0.86,0.05,,,0.77,0.1,,,,0.188,255,255,,,0.827099979,,,,,0.067,176.056338,0.53,2018A&A...616A...1G,8765
28,60107,36760,117.4700992,2.36140065,376.23452,20.29990617,8.54E-01,0.019105222,84.70340938,0.273857417,267.192972,0.446428754,96.80715948,0.399898037,51207.79716,127.8766462,185.21,203.3428347,129.8701331,4.553888077,141.8681194,5.796449981,,,,,,,,,3.594514302,0.527304192,,A1Vn,2.47,0.15,2.28,0.15,2.18,0.22,2.81,0.14,3.39,0.04,,,,0.333,140,140,,,0.287999988,,,,,0.035,123.4567901,0.059,2012A&A...537A.120Z,9204
29,64235,38474,31.52879921,0.021899051,329.5093698,0.168050378,0.654,0.000286956,77.22404278,0.025527786,121.7272686,0.074942764,185.4538777,0.01175331,47620.36371,8.131002952,74.72,162.0009164,39.7140583,1.372169598,42.05444368,0.447272937,,,,,,,,,35.99028494,0.043355651,,F5IV,,,,,1.14,0.06,1.08,0.27,,,,,,0.444,35,35,,,0.252900004,,,0.03,0.03,0,42.36929074,0.018,2011A&A...530A.138C,6744
