HD,B_ I/259/tyc2,B_error_I/259/tyc2,V_ I/259/tyc2,V_error_I/259/tyc2,B_TycoDouble,B_error_TycoDouble,V_TychoDouble,V_error_TycoDouble,B_B_TycoDouble,B_B_error_TycoDouble,V_B_TychoDouble,V_B_error_TycoDouble,PA(deg)_tycoDouble,Sep(arcsec),notes,B_ /276/catalog,B_error_/276/catalog,V_ /276/catalog,V_error_/276/catalog,B_ J/A+A/531/A92,B_err_J/A+A/531/A92,V_ J/A+A/531/A92,V_err_J/A+A/531/A92,V_Mag  II/237,G _I/350/gaiaedr3,G_err,J_ II/246/out,J_err,H_ II/246/out,H_err,K_ II/246/out,K_err,HD,B_I/297,V_I/297,R_I/297,B1_I/284,R1_I/284,R1_err,B2_I/284,R2_I/284,R2_err,B_complete,B_err_complete,V_complete,V_err_complete
82446,4.676,0.014,4.562,0.009,,,,,,,,,,,,,,,,,,,,,4.477273,0.003247,4.315,0.318,4.187,0.262,4.146,,82446,,,,4.66,4.5,0.15,4.6,4.49,0.15,4.676,0.014,4.562,0.009
87652,6.164,0.014,6.226,0.01,,,,,,,,,,,,,,,,,,,,,6.222071,0.002812,6.327,0.024,6.392,0.046,6.386,0.033,87652,,,,6.12,6.25,0.15,6.19,6.26,0.15,6.164,0.014,6.226,0.01
87822,6.76,0.015,6.282,0.01,,,,,,,,,,,,,,,,,,,,,6.433022,0.0114,5.372,0.018,5.251,0.033,5.131,0.021,87822,,,,6.68,5.99,0.15,6.47,5.97,0.15,6.76,0.015,6.282,0.01
107259,3.911,0.014,3.874,0.009,,,,,,,,,,,,,,,,,,,,,3.815949,0.003888,3.981,0.284,3.837,0.264,3.789,0.036,107259,,,,3.89,3.85,0.15,3.88,3.86,0.15,3.911,0.014,3.874,0.009
112846,5.997,0.014,5.813,0.009,,,,,,,,,,,,,,,,,,,,,5.759029,0.00332,5.415,0.018,5.368,0.042,5.269,0.017,112846,,,,5.97,5.72,0.15,5.88,5.71,0.15,5.997,0.014,5.813,0.009
114993,7.02,0.015,6.718,0.01,,,,,,,,,,,,,,,,,,,,,6.626188,0.002777,6.168,0.019,6.091,0.029,6.027,0.018,114993,,,,6.98,6.55,0.15,6.83,6.53,0.15,7.02,0.015,6.718,0.01
118889,5.978,0.014,5.621,0.009,,,,,,,,,,,,,,,,,,,,,5.486852,0.00591,4.978,0.037,4.864,0.046,4.711,0.034,118889,,,,5.92,5.42,0.15,5.75,5.4,0.15,5.978,0.014,5.621,0.009
127726,6.266,0.014,6.03,0.009,,,,,,,,,,,,,,,,,,,,,6.187548,0.014263,5.476,0.024,5.426,0.016,5.373,0.02,127726,,,,6.24,5.91,0.15,6.12,5.89,0.15,6.266,0.014,6.03,0.009
128415,6.535,0.014,6.506,0.01,,,,,,,,,,,,,,,,,,,,,6.486763,0.002805,6.338,0.02,6.32,0.031,6.283,0.017,128415,,,,6.52,6.48,0.15,6.51,6.49,0.15,6.535,0.014,6.506,0.01
129246,4.616,0.014,4.554,0.009,4.58,0.01,4.52,0.01,4.59,0.01,4.51,0.01,302.7,0.91,split,,,,,,,,,,4.310509,0.009272,3.738,0.228,3.747,0.198,3.697,0.208,129246,,,,4.59,4.52,0.15,4.57,4.52,0.15,4.616,0.014,4.554,0.009
133484,7.118,0.015,6.646,0.009,,,,,,,,,,,,,,,,,,,,,6.491237,0.002769,5.703,0.021,5.523,0.018,5.475,0.018,133484,,,,7.03,6.36,0.15,6.82,6.33,0.15,7.118,0.015,6.646,0.009
133955,3.839,0.014,4.021,0.009,,,,,,,,,,,,,,,,,,,,,3.959939,0.004595,4.587,0.266,4.621,0.044,4.539,0.027,133955,,,,3.72,4.11,0.15,3.93,4.13,0.15,3.839,0.014,4.021,0.009
137798,7.19,0.015,6.645,0.01,7.52,0.02,6.98,0.01,8.32,0.02,7.76,0.01,315.8,0.76,split,,,,,,,,,,6.644531,0.019957,5.552,0.026,5.315,0.017,5.193,0.02,137798,,,,7.09,6.32,0.15,6.85,6.29,0.15,7.19,0.015,6.645,0.01
140159,4.584,0.014,4.513,0.009,,,,,,,,,,,,,,,,,,,,,4.434381,0.00512,5.552,0.026,5.315,0.017,5.193,0.02,140159,,,,4.57,4.48,0.15,4.54,4.48,0.15,4.584,0.014,4.513,0.009
